medcodeid	term	arrhythmia	arrhythmia_cat	arrhythmia_type	cvd	angina	angina_cat	angina_type	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	hf_cat	hf	confidence	stroke	catstroke	vte	dvt	dvt_cat	dvt_type	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_cat	cardiomyopathy_type	pericarditis	pericarditis_cat	vhd	vhd_cat	pvd	pvd_cat	cvdgrouped
100611000006111	superficial thrombophlebitis of long saphenous vein				vte																				1															1
100641000006110	superficial thrombophlebitis of short saphenous vein				dvt																					DVT														1
100681000006116	thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction				mi							Myocardial infarction	History of																											1
100691000006118	cerebral venous thrombosis of cavernous sinus				stroke																	Diagnosis	Stroke	Ischaemic																1
100721000006111	cerebral venous sinus thrombosis				dvt																					DVT		4. DVT cerebral venous sinuses												1
1011821000006116	adverse reaction to drugs for supraventricular arrhythmias	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
1011831000006118	adverse reaction to drugs for ventricular arrhythmias	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
104563015	cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
105536013	intermittent claudication				pvd																																	PVD	Diagnosis	1
1059641000000112	deep vein thrombosis enhanced services administration				vte																				1															1
106392017	basilar artery syndrome				stroke																	Diagnosis	Stroke	Not specified																1
107545013	hypertensive heart disease				cad				CAD	Diagnosis	Not specific																													1
109915012	post-myocardial infarction syndrome				cad				CAD	Diagnosis	MI																													1
109916013	dressler's syndrome				mi							Myocardial infarction	History of																											1
110659019	malignant hypertensive heart and renal disease				hf															Heart failure	Heart failure																			1
110733013	paroxysmal ventricular tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
110818011	meningococcal pericarditis				pericarditis																													Pericarditis	Diagnosis					1
111625010	acute pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
111643014	paroxysmal supraventricular tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
1119161000000115	deep vein thrombosis of peroneal vein				dvt																					DVT	Diagnosis	3. DVT legs												1
112265015	pulmonary congestion				hf															Possible HF	Heart failure																			1
1130181000000113	small vessel cerebrovascular disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
1141271000000112	low probability of deep vein thrombosis				vte																				1															1
1141311000000112	moderate probability of deep vein thrombosis				dvt																					DVT														1
1141351000000111	high probability of deep vein thrombosis				vte																				1															1
1160471000000111	stroke 6 month review				stroke																	History	Stroke	History of																1
116051000006118	thrombophlebitis of superficial veins of lower extremity				dvt																					DVT														1
1165041000000115	heart failure resolved				hf															History	Heart failure																			1
116992017	acute subendocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
11858851000006114	pacing-induced cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
118689010	cerebral thrombosis				stroke																	Diagnosis	Stroke	Ischaemic																1
118831000006118	subsequent myocardial infarction of unspecified site				cad				CAD	Diagnosis	MI																													1
11922871000006113	acute pericarditis associated with another disorder				pericarditis																													Pericarditis	Diagnosis					1
119261000006115	sudden cardiac death				cad				CAD	Diagnosis	SCA																													1
119267012	sinus arrhythmia	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
12047141000006118	idiopathic recurrent pericarditis				pericarditis																													Pericarditis	Diagnosis					1
12107671000006115	chronic deep vein thrombosis of left iliac vein				vte																				1															1
12107691000006119	acute deep vein thrombosis of left iliac vein				dvt																					DVT														1
12120191000006118	revision of bypass of femoral artery with anastomosis of femoral artery to femoral artery using prosthesis				pvd																																	PVD	Diagnosis	1
1212072018	occlusive stroke				stroke																	Diagnosis	Stroke	Ischaemic																1
12122331000006116	acute st segment elevation myocardial infarction of inferolateral wall				cad				CAD	Diagnosis	MI																													1
