medcode	readcode	readterm	arrhythmia	arrhythmia_type	arrhythmia_cat	cvd	angina	angina_type	angina_cat	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	confidence	hf	stroke	catstroke	vte	dvt	dvt_type	dvt_cat	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_type	cardiomyopathy_cat	pericarditis	pericarditis_type	pericarditis_cat	vhd	vhd_type	vhd_cat	pvd_cat	cvdgrouped
41577	1477.00	h/o: cerebrovascular disease				cad				CAD	History	Not specific																													1
10444	14A..00	h/o: cardiovascular disease				nonspecificcvd													1.CVD - non-specific	History																					1
35674	14A3.00	h/o: myocardial infarct <60				mi							1	History of																											1
40399	14A4.00	h/o: myocardial infarct >60				mi							1	History of																											1
6336	14A5.00	h/o: angina pectoris				angina	Angina	History of angina	History																																1
15058	14A6.00	h/o: heart failure				hf															History	Heart failure																			1
34135	14A7.00	h/o: cva/stroke				stroke															History		1	90.history of stroke nos																	1
6305	14A7.11	h/o: cva				stroke															History		1	90.history of stroke nos																	1
5871	14A7.12	h/o: stroke				stroke															History		1	90.history of stroke nos																	1
5614	14A8100	h/o: deep vein thrombosis				dvt																				1	90. History of DVT/PE	History													1
32526	14AA.00	h/o: heart disease nos				cad				CAD	History	Not specific																													1
10280	14AC.00	h/o: pulmonary embolus				pulmonaryembolism																							1	History											1
50372	14AH.00	h/o: myocardial infarction in last year				cad				CAD	History	MI																													1
57062	14AJ.00	h/o: angina in last year				cad				CAD	History	Angina																													1
66873	14AK.00	h/o: stroke in last year				stroke															History		1	90.history of stroke nos																	1
46912	14AM.00	h/o: heart failure in last year				hf															History	Heart failure																			1
6345	14AN.00	h/o: atrial fibrillation	arrhythmia	History of arrhythmia	History	arrhythmia																																			1
30712	14AP.00	history of ventricular tachycardia	arrhythmia	History of arrhythmia	History	arrhythmia																																			1
12375	14AQ.00	history of supraventricular tachycardia	arrhythmia	History of arrhythmia	History	arrhythmia																																			1
93460	14AR.00	history of atrial flutter	arrhythmia	History of arrhythmia	History	arrhythmia																																			1
100139	14AT.00	history of myocardial infarction				mi							1	History of																											1
59534	14NB.00	h/o: peripheral vascular disease procedure				pvd																																		History	1
6434	1736.00	paroxysmal nocturnal dyspnoea				hf															Diagnosis	Heart failure																			1
6834	18...00	cardiovascular symptoms				nonspecificcvd													1.CVD - non-specific	Possible																					1
326	181..00	palpitations	arrhythmia	Palpitations	Diagnosis	arrhythmia																																			1
2975	1812.00	palpitations	arrhythmia	Palpitations	Diagnosis	arrhythmia																																			1
15616	181Z.00	palpitations nos	arrhythmia	Palpitations	Diagnosis	arrhythmia																																			1
102627	183B.00	worsening pulmonary oedema				hf															Possible	Heart failure																			1
103655	187..00	frequency of angina				angina	Angina	Stable angina	Disease management																																1
45984	18Z..00	cardiovascular symptoms nos				nonspecificcvd													1.CVD - non-specific	Possible																					1
43868	18ZZ.00	cardiovascular symptom nos				nonspecificcvd													1.CVD - non-specific	Possible																					1
3997	1J6..00	suspected heart disease				nonspecificcvd													1.CVD - non-specific	Possible																					1
30963	1J61.00	suspected ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Possible																					1
40098	1JA1.00	suspected cerebrovascular disease				nonspecificcvd													1.CVD - non-specific	Possible																					1
94163	1JH..00	suspected deep vein thrombosis				vte																			1																1
109034	1M11000	ischaemic foot pain at rest				pvd																																		Diagnosis	1
109217	1M11100	ischaemic foot pain when walking				pvd																																		Diagnosis	1
100639	1M4..00	central post-stroke pain				stroke															History		1	90.history of stroke nos																	1
9913	1O1..00	heart failure confirmed				hf															Diagnosis	Heart failure																			1
100784	2126400	heart failure resolved				hf															History	Heart failure																			1
28994	212R.00	atrial fibrillation resolved	arrhythmia	History of arrhythmia	History	arrhythmia																																			1
5925	2241.00	o/e - collapse -cardiac arrest				sca									1	Diagnosis																									1
5155	23E1.00	o/e - pulmonary oedema				hf															Possible	Heart failure																			1
13608	2422.00	o/e - pulse rate - bradycardia	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
1352	2422.11	o/e - bradycardia	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
26716	2426.00	o/e - pulse rate tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
7128	2426.11	o/e - tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
108569	2Ba2200	scpe class predom patt c.3 infarct of middle cerebral artery				stroke															Diagnosis		1	30.stroke nos																	1
9561	2G63.00	ischaemic toe				pvd																																		Diagnosis	1
111428	2JZ..00	on optimal heart failure therapy				hf															Disease management	Heart failure																			1
7783	323..00	ecg: myocardial infarction				cad				CAD	Diagnosis	MI																													1
39904	3232.00	ecg: old myocardial infarction				cad				CAD	History	MI																													1
55401	3235.00	ecg: subendocardial infarct				mi							1	Myocardial infarction																											1
59032	323Z.00	ecg: myocardial infarct nos				mi							1	Myocardial infarction																											1
17597	327..00	ecg: supraventricular arrhythmia	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
3757	3272.00	ecg: atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
6771	3273.00	ecg: atrial flutter	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
19707	328..00	ecg: ventricular arrhythmia	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
4924	3282.00	ecg: ventricular tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
29371	328Z.00	ecg: ventricular arrhythmia nos	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
46672	388D.00	new york heart assoc classification heart failure symptoms				hf															Diagnosis	Heart failure																			1
11284	585f.00	echocardiogram shows left ventricular systolic dysfunction				hf															Diagnosis	Heart failure																			1
11351	585g.00	echocardiogram shows left ventricular diastolic dysfunction				hf															Diagnosis	Heart failure																			1
109679	5C13.00	old cerebral infarction on imaging				stroke															History		1	90.history of stroke nos																	1
107967	661M000	angina self-management plan agreed				cad				CAD	Diagnosis	Angina																													1
106198	661M500	heart failure self-management plan agreed				hf															Disease management	Heart failure																			1
107195	661M700	stroke self-management plan agreed				stroke															Diagnosis		1	90.history of stroke nos																	1
109391	661N000	angina self-management plan review				angina	Angina	Stable angina	Disease management																																1
114261	661N500	heart failure self-management plan review				hf															Disease management	Heart failure																			1
109743	661N700	stroke self-management plan review				stroke															Disease management		1	90.history of stroke nos																	1
13185	662K.00	angina control				angina	Angina	Stable angina	Disease management																																1
19542	662K000	angina control - good				angina	Angina	Stable angina	Disease management																																1
15373	662K100	angina control - poor				angina	Angina	Stable angina	Disease management																																1
14782	662K200	angina control - improving				cad				CAD	Diagnosis	Angina																													1
29300	662K300	angina control - worsening				angina	Angina	Worsening angina	Disease management																																1
108504	662K400	angina self management plan commenced				angina	Angina	Stable angina	Disease management																																1
108506	662K500	angina self management plan completed				angina	Angina	Stable angina	Disease management																																1
15349	662Kz00	angina control nos				cad				CAD	Diagnosis	Angina																													1
10792	662M.00	stroke monitoring				stroke															Disease management		1	90.history of stroke nos																	1
105100	662M100	stroke 6 month review				stroke															Disease management		1	90.history of stroke nos																	1
104505	662M200	stroke initial post discharge review				stroke															History		1	90.history of stroke nos																	1
18746	662S.00	atrial fibrillation monitoring	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
12366	662T.00	congestive heart failure monitoring				hf															Disease management	Heart failure																			1
18499	662U.00	peripheral vascular disease monitoring				pvd																																		Disease management	1
30779	662W.00	heart failure annual review				hf															Disease management	Heart failure																			1
18686	662e.00	stroke/cva annual review				stroke															Disease management		1	90.history of stroke nos																	1
107886	662e.11	stroke annual review				stroke															Disease management		1	90.history of stroke nos																	1
18853	662f.00	new york heart association classification - class i				hf															Diagnosis	Heart failure																			1
13189	662g.00	new york heart association classification - class ii				hf															Diagnosis	Heart failure																			1
19066	662h.00	new york heart association classification - class iii				hf															Diagnosis	Heart failure																			1
51214	662i.00	new york heart association classification - class iv				hf															Diagnosis	Heart failure																			1
28914	662o.00	haemorrhagic stroke monitoring				stroke															Disease management		1	90.history of stroke nos																	1
83502	662p.00	heart failure 6 month review				hf															Disease management	Heart failure																			1
105002	679W100	education about deteriorating heart failure				hf															Possible	Heart failure																			1
95835	679X.00	heart failure education				hf															Possible	Heart failure																			1
45773	6A9..00	atrial fibrillation annual review	arrhythmia	History of arrhythmia	Disease management	arrhythmia																																			1
12743	790H300	revascularisation of wall of heart				revascularisation											Revascularisation	Diagnosis																							1
15133	7911300	replacement of aortic valve nec				vhd																															1	1.Aortic valve disease	Diagnosis		1
737	792..11	coronary artery bypass graft operations				cad				CAD	Diagnosis	Revascularisation																													1
18249	7920.00	saphenous vein graft replacement of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
8312	7920.11	saphenous vein graft bypass of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
8679	7920000	saphenous vein graft replacement of one coronary artery				cad				CAD	Diagnosis	Revascularisation																													1
7634	7920100	saphenous vein graft replacement of two coronary arteries				cad				CAD	Diagnosis	Revascularisation																													1
7442	7920200	saphenous vein graft replacement of three coronary arteries				cad				CAD	Diagnosis	Revascularisation																													1
11610	7920300	saphenous vein graft replacement of four+ coronary arteries				cad				CAD	Diagnosis	Revascularisation																													1
7137	7920y00	saphenous vein graft replacement of coronary artery os				cad				CAD	Diagnosis	Revascularisation																													1
51515	7920z00	saphenous vein graft replacement coronary artery nos				cad				CAD	Diagnosis	Revascularisation																													1
