icd	alt_code	description	opcs	cvdgrouped
K408		Other specified saphenous vein graft replacement of coronary artery	K408	1
K412		Autograft replacement of two coronary arteries NEC	K412	1
K40		Saphenous vein graft replacement of coronary artery	K40	1
K411		Autograft replacement of one coronary artery NEC	K411	1
K429		Unspecified allograft replacement of coronary artery	K429	1
K46		Other bypass of coronary artery	K46	1
K428		Other specified allograft replacement of coronary artery	K428	1
K414		Autograft replacement of four or more coronary arteries NEC	K414	1
K419		Unspecified other autograft replacement of coronary artery	K419	1
K418		Other specified other autograft replacement of coronary artery	K418	1
K469		Unspecified other bypass of coronary artery	K469	1
K402		Saphenous vein graft replacement of two coronary arteries	K402	1
K413		Autograft replacement of three coronary arteries NEC	K413	1
K234		Revascularisation of wall of heart	K234	1
K424		Allograft replacement of four or more coronary arteries	K424	1
K493		Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery	K493	1
K403		Saphenous vein graft replacement of three coronary arteries	K403	1
K41		Other autograft replacement of coronary artery	K41	1
K42		Allograft replacement of coronary artery	K42	1
K409		Unspecified saphenous vein graft replacement of coronary artery	K409	1
K468		Other specified other bypass of coronary artery	K468	1
K421		Allograft replacement of one coronary artery	K421	1
K423		Allograft replacement of three coronary arteries	K423	1
K422		Allograft replacement of two coronary arteries	K422	1
K404		Saphenous vein graft replacement of four or more coronary arteries	K404	1
K401		Saphenous vein graft replacement of one coronary artery	K401	1
G46	G46	Vascular syndromes of brain in cerebrovascular diseases		1
G46.8	G468	Other vascular syndromes of brain in cerebrovascular diseases		1
I01.8	I018	Other acute rheumatic heart disease		1
I01.9	I019	Acute rheumatic heart disease, unspecified		1
I05	I05	Rheumatic mitral valve diseases		1
I05.0	I050	Mitral stenosis		1
I05.1	I051	Rheumatic mitral insufficiency		1
I05.2	I052	Mitral stenosis with insufficiency		1
I05.8	I058	Other mitral valve diseases		1
I05.9	I059	Mitral valve disease, unspecified		1
I06	I06	Rheumatic aortic valve diseases		1
I06.0	I060	Rheumatic aortic stenosis		1
I06.1	I061	Rheumatic aortic insufficiency		1
I06.2	I062	Rheumatic aortic stenosis with insufficiency		1
I06.8	I068	Other rheumatic aortic valve diseases		1
I06.9	I069	Rheumatic aortic valve disease, unspecified		1
I07	I07	Rheumatic tricuspid valve diseases		1
I07.0	I070	Tricuspid stenosis		1
I07.1	I071	Tricuspid insufficiency		1
I07.2	I072	Tricuspid stenosis with insufficiency		1
I07.8	I078	Other tricuspid valve diseases		1
