medcodeid	term	dementia	type	certlevel	nonspecific
914951000006114	[d] dementia in alzheimer's disease	1	1		
905791000006115	[rfc] alzheimer's disease	1	1		
363021000006113	[x]alzheimer's dementia unspec	1	1		
363031000006111	[x]alzheimer's disease type 1	1	1		
363041000006118	[x]alzheimer's disease type 2	1	1		
295671015	[x]dementia in alzheimer's dis, atypical or mixed type	1	1		
295668011	[x]dementia in alzheimer's disease	1	1		
376531000006119	[x]dementia in alzheimer's disease with early onset	1	1		
376541000006112	[x]dementia in alzheimer's disease with late onset	1	1		
295672010	[x]dementia in alzheimer's disease, unspecified	1	1		
299325013	[x]other alzheimer's disease	1	1		
423351000006115	[x]presenile dementia,alzheimer's type	1	1		
423381000006111	[x]primary degen dementia of alzheimer's type, senile onset	1	1		
423391000006114	[x]primary degen dementia, alzheimer's type, presenile onset	1	1		
425901000006116	[x]senile dementia,alzheimer's type	1	1		
2931231000006118	ad - alzheimer's disease	1	1		
2931251000006113	alzheimer dementia	1	1		
2931241000006111	alzheimer disease	1	1		
45046017	alzheimer's disease	1	1		
499946014	alzheimer's disease with early onset	1	1		
500317011	alzheimer's disease with late onset	1	1		
1972341000006111	dementia in alzheimer's dis, atypical or mixed type, other mixed symptoms	1	1		
1972251000006119	dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional	1	1		
1972311000006112	dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive	1	1		
1972291000006113	dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory	1	1		
1972231000006114	dementia in alzheimer's dis, atypical or mixed type, without additional symptoms	1	1		
6900241000006112	dementia in alzheimer's disease - type 1	1	1		
6897271000006114	dementia in alzheimer's disease - type 2	1	1		
1972141000006113	dementia in alzheimer's disease with early onset, other mixed symptoms	1	1		
1971541000006114	dementia in alzheimer's disease with early onset, other symptoms, predominantly delusional	1	1		
1972131000006115	dementia in alzheimer's disease with early onset, other symptoms, predominantly depressive	1	1		
1971771000006112	dementia in alzheimer's disease with early onset, other symptoms, predominantly hallucinatory	1	1		
1971401000006111	dementia in alzheimer's disease with early onset, without additional symptoms	1	1		
1972211000006115	dementia in alzheimer's disease with late onset, other mixed symptoms	1	1		
1972181000006119	dementia in alzheimer's disease with late onset, other symptoms, predominantly delusional	1	1		
1972201000006118	dementia in alzheimer's disease with late onset, other symptoms, predominantly depressive	1	1		
1972191000006116	dementia in alzheimer's disease with late onset, other symptoms, predominantly hallucinatory	1	1		
1972171000006117	dementia in alzheimer's disease with late onset, without additional symptoms	1	1		
1972471000006111	dementia in alzheimer's disease, unspecified, other mixed symptoms	1	1		
1972401000006117	dementia in alzheimer's disease, unspecified, other symptoms, predominantly delusional	1	1		
1972451000006118	dementia in alzheimer's disease, unspecified, other symptoms, predominantly depressive	1	1		
1972421000006110	dementia in alzheimer's disease, unspecified, other symptoms, predominantly hallucinatory	1	1		
1972371000006115	dementia in alzheimer's disease, unspecified, without additional symptoms	1	1		
6897241000006118	dementia of the alzheimers type with early onset	1	1		
6900201000006110	dementia of the alzheimers type, late onset	1	1		
6897251000006116	presenile dementia, alzheimer's type	1	1		
6897221000006113	primary degenerative dementia of the alzheimer type, early onset	1	1		
6900191000006112	primary degenerative dementia of the alzheimer type, late onset	1	1		
6897211000006117	primary degenerative dementia of the alzheimer type, presenile onset	1	1		
6900181000006114	primary degenerative dementia of the alzheimer type, senile onset	1	1		
6900221000006117	sdat - senile dementia, alzheimer's type	1	1		
914921000006117	[d] vascular dementia	1	2		
363791000006112	[x]arteriosclerotic dementia	1	2		
398571000006112	[x]mixed cortical and subcortical vascular dementia	1	2		
399031000006111	[x]multi-infarct dementia	1	2		
295680015	[x]other vascular dementia	1	2		
428201000006119	[x]subcortical vascular dementia	1	2		
431681000006117	[x]vascular dementia	1	2		
431691000006119	[x]vascular dementia of acute onset	1	2		
295681016	[x]vascular dementia, unspecified	1	2		
497559016	arteriosclerotic dementia	1	2		
294656010	arteriosclerotic dementia nos	1	2		
294653019	arteriosclerotic dementia with delirium	1	2		
294655014	arteriosclerotic dementia with depression	1	2		
294654013	arteriosclerotic dementia with paranoia	1	2		
3964611000006111	binswanger's dementia	1	2		
149347010	binswanger's disease	1	2		
1235534016	binswanger's encephalopathy	1	2		1
297013012	cerebral degeneration due to cerebrovascular disease	1	2		1
3414231000006117	mid - multi-infarct dementia	1	2		
1972931000006117	mixed cortical and subcortical vascular dementia, other mixed symptoms	1	2		
1972831000006110	mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional	1	2		
1972911000006111	mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive	1	2		
1972871000006113	mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory	1	2		
1972821000006112	mixed cortical and subcortical vascular dementia, without additional symptoms	1	2		
3414261000006114	multi infarct dementia	1	2		
696161000006115	multi infarct dementia	1	2		
1972681000006112	multi-infarct dementia, other mixed symptoms	1	2		
1972621000006113	multi-infarct dementia, other symptoms, predominantly delusional	1	2		
1972661000006119	multi-infarct dementia, other symptoms, predominantly depressive	1	2		
1972641000006118	multi-infarct dementia, other symptoms, predominantly hallucinatory	1	2		
1972601000006115	multi-infarct dementia, without additional symptoms	1	2		
1973401000006112	other vascular dementia, other mixed symptoms	1	2		
1973271000006117	other vascular dementia, other symptoms, predominantly delusional	1	2		
1973381000006112	other vascular dementia, other symptoms, predominantly depressive	1	2		
1973341000006118	other vascular dementia, other symptoms, predominantly hallucinatory	1	2		
1973221000006118	other vascular dementia, without additional symptoms	1	2		
3964651000006112	subcortical arteriosclerotic encephalopathy	1	2		1
1972791000006115	subcortical vascular dementia, other mixed symptoms	1	2		
1972731000006119	subcortical vascular dementia, other symptoms, predominantly delusional	1	2		
1972771000006116	subcortical vascular dementia, other symptoms, predominantly depressive	1	2		
1972751000006114	subcortical vascular dementia, other symptoms, predominantly hallucinatory	1	2		
1972711000006113	subcortical vascular dementia, without additional symptoms	1	2		
