medcodeid	term	certlevel	depression_vspec
1222477019	[d]postoperative depression	Definite	
909681000006110	[rfc] depression	Definite	
426891000006114	[x] single episode agitated depression without psychotic symptoms	Definite	
366561000006119	[x]atypical depression	Definite	
376701000006116	[x]depressive conduct disorder	Definite	
376711000006118	[x]depressive disorder nos	Definite	
401872015	[x]depressive episode, unspecified	Definite	
379771000006116	[x]endogenous depression with psychotic symptoms	Definite	
379781000006118	[x]endogenous depression without psychotic symptoms	Definite	
396081000006116	[x]major depression, recurrent without psychotic symptoms	Definite	
398351000006110	[x]mild anxiety depression	Definite	
213641000000111	[x]mild depression	Definite	
398561000006117	[x]mixed anxiety and depressive disorder	Definite	
296138013	[x]moderate depressive episode	Definite	
398841000006119	[x]monopolar depression nos	Definite	
401871010	[x]other depressive episodes	Definite	
296209016	[x]other mood affective disorders	Definite	
296207019	[x]other persistent mood affective disorders	Definite	
296199015	[x]other recurrent depressive disorders	Definite	
401878016	[x]other recurrent mood affective disorders	Definite	
401877014	[x]other single mood affective disorders	Definite	
296218019	[x]other specified mood affective disorders	Definite	
419841000006116	[x]persistant anxiety depression	Definite	
296208012	[x]persistent mood affective disorder, unspecified	Definite	
423611000006111	[x]prolonged single episode of reactive depression	Definite	
424531000006118	[x]recurr depress disorder cur epi severe without psyc sympt	Definite	
424541000006111	[x]recurr severe episodes/major depression+psychotic symptom	Definite	
424561000006110	[x]recurrent brief depressive episodes	Definite	
424571000006115	[x]recurrent depress disorder cur epi severe with psyc symp	Definite	
401873013	[x]recurrent depressive disorder	Definite	
296180012	[x]recurrent depressive disorder, current episode mild	Definite	
296181011	[x]recurrent depressive disorder, current episode moderate	Definite	
401876017	[x]recurrent depressive disorder, unspecified	Definite	
424631000006119	[x]recurrent episodes of depressive reaction	Definite	
424641000006112	[x]recurrent episodes of psychogenic depression	Definite	
424651000006114	[x]recurrent episodes of reactive depression	Definite	
424671000006116	[x]recurrent severe episodes of psychotic depression	Definite	
1495055011	[x]right hemispheric organic affective disorder	Definite	
425751000006115	[x]seasonal depressive disorder	Definite	
401869010	[x]severe depressive episode with psychotic symptoms	Definite	
401866015	[x]severe depressive episode without psychotic symptoms	Definite	
426911000006111	[x]single episode of depressive reaction	Definite	
426921000006115	[x]single episode of major depression and psychotic symptoms	Definite	
426931000006117	[x]single episode of masked depression nos	Definite	
426941000006110	[x]single episode of psychogenic depression	Definite	
426961000006114	[x]single episode of psychotic depression	Definite	
426971000006119	[x]single episode of reactive depression	Definite	
426991000006118	[x]single episode vital depression w'out psychotic symptoms	Definite	
401879012	[x]unspecified mood affective disorder	Definite	
432511000006119	[x]vital depression, recurrent without psychotic symptoms	Definite	
398851000006117	affective disorder	Definite	
474171000006112	agitated depression	Definite	
138421012	agitated depression	Definite	
429581000006118	antidepressant drug adverse reaction	Definite	
5024071000006118	anxiety depression	Definite	
294655014	arteriosclerotic dementia with depression	Definite	
294894013	atypical depressive disorder	Definite	
8080011000006119	basdec - brief assessment schedule depression cards	Definite	
525921000006119	brief depressive adjustment reaction	Definite	
295494011	brief depressive reaction nos	Definite	
295537016	chronic depression	Definite	
2724681000006112	chronic major depressive disorder, single episode	Definite	
2540711000006115	chronic recurrent major depressive disorder	Definite	
12735821000006110	counselling for depression	Definite	
8366861000006113	current view provisional problem description item 9 - depression/low mood	Definite	
882671000006112	depression	Definite	
5359021000006116	depression	Definite	
376691000006116	depression	Definite	
5359011000006112	depression - motion	Definite	
2534096013	depression annual review	Definite	
8245201000006115	depression care management	Definite	
1823881000006110	depression confirmed	Definite	
226581000000119	depression enhanced service completed	Definite	
226411000000110	depression enhanced services administration	Definite	
2534091015	depression interim review	Definite	
1773563015	depression management programme	Definite	
2534092010	depression medication review	Definite	
882681000006110	depression nos	Definite	
5248911000006110	depression worse in morning	Definite	
5248931000006116	depression worse later in day	Definite	
5024511000006118	depressive conduct disorder	Definite	
295535012	depressive disorder	Definite	
14013791000006119	depressive disorder caused by methamphetamine	Definite	
12727931000006110	depressive disorder nec	Definite	
376721000006114	depressive episode	Definite	
13974501000006115	depressive episode	Definite	
8308801000006112	did not attend depression review	Definite	
379431000006113	dysthymia	Definite	
441826016	endogenous depression	Definite	
410861011	endogenous depression - recurrent	Definite	
346972018	endogenous depression first episode	Definite	
642461000006116	endogenous depression first episode	Definite	
13974511000006117	episode of depression	Definite	
999911000006111	excepted from depression quality indicators - informed dissent	Definite	
999901000006113	excepted from depression quality indicators - patient unsuitable	Definite	
294081000000110	exception reporting - depression quality indicators	Definite	
13962531000006113	follow up for depression	Definite	
6337501000006112	major depression	Definite	
7882721000006118	major depression with psychotic features	Definite	
401766011	major depression, single episode	Definite	
6337491000006116	major depressive disorder	Definite	
3094951000006111	major depressive disorder, single episode	Definite	
3628471000006116	major depressive disorder, single episode with catatonic features	Definite	
7127661000006118	major depressive disorder, single episode, severe with psychotic features	Definite	
346973011	masked depression	Definite	
1972411000006119	mental & behav dis due to cannabinoids: resid & late-onset psychot dis, residual affective disorder	Definite	
1971591000006117	mental & behav dis due to seds/hypntcs: resid & late-onset psychot dis, residual affective disorder	Definite	
1974911000006115	mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder	Definite	
1975661000006111	mental & behav dis due to use alcohol: resid & late-onset psychot dis, residual affective disorder	Definite	
1973911000006118	mental & behav dis due to use cocaine: resid & late-onset psychot dis, residual affective disorder	Definite	
1971681000006116	mental & behav dis due to use opioids: resid & late-onset psychot dis, residual affective disorder	Definite	
1973671000006115	mental and behav dis due to hallucinogens: resid & late-onset psychot dis, residual affective disorder	Definite	
1976041000006110	mental and behav dis due to other stimulants inc caffeine: resid/late-onset psycht dis, residual affective disorder	Definite	
1973161000006117	mental and behav dis due to vol solvents: resid & late-onset psychotic dis, residual affective disorder	Definite	
1974261000006114	mental and behav dis mlti drg use/oth psych subs: resid/late psychot dis, residual affective disorder	Definite	
882811000006119	mild depression	Definite	
296137015	mild depression	Definite	
1975991000006112	mild depressive episode, with somatic syndrome	Definite	
1975981000006114	mild depressive episode, without somatic syndrome	Definite	
1715771000006112	mild major depression	Definite	
294825017	mild major depression, single episode	Definite	
9901161000006119	mild major depressive disorder co-occurrent with anxiety single episode	Definite	
3149661000006117	mild recurrent major depression	Definite	
7803731000006112	minimal major depression single episode	Definite	
3286331000006115	minor depressive disorder	Definite	
488211000006112	mixed anxiety and depressive disorder	Definite	
1976491000006113	mixed anxiety and depressive reaction	Definite	
6000711000006112	moderate depression	Definite	
882821000006110	moderate depression	Definite	
1976051000006112	moderate depressive episode, with somatic syndrome	Definite	
1976021000006115	moderate depressive episode, without somatic syndrome	Definite	
1715181000006114	moderate major depression	Definite	
294826016	moderate major depression, single episode	Definite	
9901261000006114	moderate major depressive disorder co-occurrent with anxiety single episode	Definite	
2798691000006112	moderate recurrent major depression	Definite	
7788661000006119	moderately severe depression	Definite	
7803711000006118	moderately severe major depression single episode	Definite	
2474715017	on depression register	Definite	
1680571000006118	on full dose long term treatment depression - enh serv admin	Definite	
681801000000113	on full dose long term treatment for depression	Definite	
2877341000006116	organic affective disorder	Definite	
1972111000006114	organic depressive disorder	Definite	
1972121000006118	organic mixed affective disorder	Definite	
1976411000006115	other recurrent mood affective disorders, recurrent brief depressive disorder	Definite	
1976371000006116	other single mood affective disorders, mixed affective episode	Definite	
2533375017	patient given advice about management of depression	Definite	
3837121000006116	postoperative depression	Definite	
295536013	postviral depression	Definite	
294642013	presenile dementia with depression	Definite	
2929931000006112	primary degenerative dementia of the alzheimer type, senile onset, with depression	Definite	
202561000006114	prolonged depressive adjustment reaction	Definite	
3700911000006115	psychotic depression	Definite	
294918011	psychotic reactive depression	Definite	
12626331000006116	qof (quality and outcomes framework) depression quality indicator-related care invitation	Definite	
12734331000006115	qof (quality and outcomes framework) depression quality indicator-related care invitation using preferred method of communication	Definite	
882401000006115	reactive (neurotic) depression	Definite	
359121000006116	reactive depression	Definite	
675861000006113	reactive depression (situational)	Definite	
8465321000006112	reactive depression, prolonged single episode	Definite	
3153071000006116	recurrent brief depressive disorder	Definite	
294844012	recurrent depression	Definite	
2730011000000110	recurrent depression with current moderate episode	Definite	
