prodcodeid	drugsubstancename	termfromemis	class	extra	depression_drugs
592541000033118		fluoxetine hydrochloride liquid 20 mg/5 ml	SSRI	1	1
1583241000033111	citalopram hydrobromide	cipramil 10mg tablets (lundbeck ltd)	SSRI	1	1
259141000033116	citalopram hydrobromide	cipramil 20mg tablets (lundbeck ltd)	SSRI	1	1
1583041000033115	citalopram hydrobromide	cipramil 40mg tablets (lundbeck ltd)	SSRI	1	1
1583341000033118	citalopram hydrobromide	citalopram 10mg tablets	SSRI	1	1
259241000033111	citalopram hydrobromide	citalopram 20mg tablets	SSRI	1	1
1583141000033116	citalopram hydrobromide	citalopram 40mg tablets	SSRI	1	1
1900741000033115	citalopram hydrochloride	cipramil 40mg/ml drops (lundbeck ltd)	SSRI	1	1
1900641000033112	citalopram hydrochloride	citalopram 40mg/ml oral drops sugar free	SSRI	1	1
2749641000033115	escitalopram oxalate	cipralex 10mg tablets (lundbeck ltd)	SSRI	1	1
3928941000033119	escitalopram oxalate	cipralex 10mg/ml oral drops (lundbeck ltd)	SSRI	1	1
2951441000033110	escitalopram oxalate	cipralex 20mg tablets (lundbeck ltd)	SSRI	1	1
5128641000033118	escitalopram oxalate	cipralex 20mg/ml oral drops (lundbeck ltd)	SSRI	1	1
3030541000033115	escitalopram oxalate	cipralex 5mg tablets (lundbeck ltd)	SSRI	1	1
2749541000033116	escitalopram oxalate	escitalopram 10mg tablets	SSRI	1	1
3928841000033110	escitalopram oxalate	escitalopram 10mg/ml oral drops sugar free	SSRI	1	1
2951341000033116	escitalopram oxalate	escitalopram 20mg tablets	SSRI	1	1
5128541000033119	escitalopram oxalate	escitalopram 20mg/ml oral drops sugar free	SSRI	1	1
3030341000033110	escitalopram oxalate	escitalopram 5mg tablets	SSRI	1	1
1923141000033118	fluoxetine hydrochloride	felicium 20mg capsules (opus pharmaceuticals ltd)	SSRI	1	1
11603841000033119	fluoxetine hydrochloride	fluoxetine 10mg capsules	SSRI	1	1
6496341000033116	fluoxetine hydrochloride	fluoxetine 10mg tablets	SSRI	1	1
13740541000033117	fluoxetine hydrochloride	fluoxetine 10mg tablets (imported)	SSRI	1	1
577841000033114	fluoxetine hydrochloride	fluoxetine 20mg capsules	SSRI	1	1
9120641000033112	fluoxetine hydrochloride	fluoxetine 20mg dispersible tablets sugar free	SSRI	1	1
2770641000033114	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution	SSRI	1	1
5749441000033115	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution sugar free	SSRI	1	1
11707441000033119	fluoxetine hydrochloride	fluoxetine 30mg capsules	SSRI	1	1
13740641000033116	fluoxetine hydrochloride	fluoxetine 30mg capsules (imported)	SSRI	1	1
11707541000033118	fluoxetine hydrochloride	fluoxetine 40mg capsules	SSRI	1	1
579041000033111	fluoxetine hydrochloride	fluoxetine 60mg capsules	SSRI	1	1
9120741000033115	fluoxetine hydrochloride	olena 20mg dispersible tablets (advanz pharma)	SSRI	1	1
2602041000033119	fluoxetine hydrochloride	oxactin 20mg capsules (discovery pharmaceuticals)	SSRI	1	1
1112441000033114	fluoxetine hydrochloride	prozac 20mg capsules (eli lilly and company ltd)	SSRI	1	1
