prodcode	bnftext	ingredient	productname	class	extra	depression_drugs
85516	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (medihealth (northern) ltd)	SSRI	1	1
75697	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (phoenix healthcare distribution ltd)	SSRI	1	1
85308	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (sovereign medical ltd)	SSRI	1	1
73417	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (pliva pharma ltd)	SSRI	1	1
75702	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (kent pharma (uk) ltd)	SSRI	1	1
82670	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (sovereign medical ltd)	SSRI	1	1
74753	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 30mg tablets	SSRI	1	1
79784	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	cipramil 10mg tablets (waymade healthcare plc)	SSRI	1	1
83078	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (medreich plc)	SSRI	1	1
75075	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (alliance healthcare (distribution) ltd)	SSRI	1	1
80370	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (tillomed laboratories ltd)	SSRI	1	1
81067	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (noumed life sciences ltd)	SSRI	1	1
84264	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (medreich plc)	SSRI	1	1
85525	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 5mg tablets (a a h pharmaceuticals ltd)	SSRI	1	1
80821	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 20mg tablets (mawdsley-brooks & company ltd)	SSRI	1	1
81987	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg tablets (accord healthcare ltd)	SSRI	1	1
82346	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg tablets (sigma pharmaceuticals plc)	SSRI	1	1
74858	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 10mg tablets (waymade healthcare plc)	SSRI	1	1
74993	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg tablets (brown & burk uk ltd)	SSRI	1	1
74785	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 10mg tablets (de pharmaceuticals)	SSRI	1	1
72773	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 20mg tablets (teva uk ltd)	SSRI	1	1
80453	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 20mg tablets (a a h pharmaceuticals ltd)	SSRI	1	1
83378	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 10mg tablets (necessity supplies ltd)	SSRI	1	1
80820	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 20mg tablets (de pharmaceuticals)	SSRI	1	1
75688	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (genesis pharmaceuticals ltd)	SSRI	1	1
77881	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 10mg capsules (medreich plc)	SSRI	1	1
73414	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution (pinewood healthcare)	SSRI	1	1
77381	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (dowelhurst ltd)	SSRI	1	1
79494	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 60mg capsules (a a h pharmaceuticals ltd)	SSRI	1	1
75247	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 60mg capsules (advanz pharma)	SSRI	1	1
81906	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 10mg tablets (endo ventures ltd)	SSRI	1	1
78889	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 40mg capsules (medreich plc)	SSRI	1	1
80702	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg/5ml liquid (lexon (uk) ltd)	SSRI	1	1
79590	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 30mg capsules (medreich plc)	SSRI	1	1
75068	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 40mg capsules (alliance healthcare (distribution) ltd)	SSRI	1	1
79506	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (bristol laboratories ltd)	SSRI	1	1
75943	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg/5ml liquid (necessity supplies ltd)	SSRI	1	1
75645	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 2.5mg/5ml oral solution	SSRI	1	1
75799	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (almus pharmaceuticals ltd)	SSRI	1	1
74886	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 2mg/5ml oral solution	SSRI	1	1
75054	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine oral liquid	SSRI	1	1
83463	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablets (almus pharmaceuticals ltd)	SSRI	1	1
85550	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 40mg tablets (crescent pharma ltd)	SSRI	1	1
78843	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg/5ml oral solution	SSRI	1	1
76946	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets (a a h pharmaceuticals ltd)	SSRI	1	1
84572	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets (alliance healthcare (distribution) ltd)	SSRI	1	1
84646	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets (de pharmaceuticals)	SSRI	1	1
73668	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (almus pharmaceuticals ltd)	SSRI	1	1
82506	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg tablets (waymade healthcare plc)	SSRI	1	1
79383	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablet (neo laboratories ltd)	SSRI	1	1
79381	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablet (sovereign medical ltd)	SSRI	1	1
74588	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg tablets (de pharmaceuticals)	SSRI	1	1
73589	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg tablets (lexon (uk) ltd)	SSRI	1	1
83981	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (sandoz ltd)	SSRI	1	1
77650	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg tablets (mawdsley-brooks & company ltd)	SSRI	1	1
76772	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 30mg tablets (mawdsley-brooks & company ltd)	SSRI	1	1
81854	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets (teva uk ltd)	SSRI	1	1
82578	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 30mg tablets (waymade healthcare plc)	SSRI	1	1
