medcode	readcode	readterm	certlevel
29527	R007z13	[d]postoperative depression	Definite
5987	Eu32z14	[x] reactive depression nos	Definite
10720	Eu32y11	[x]atypical depression	Definite
543	Eu32z11	[x]depression nos	Definite
32845	Eu92000	[x]depressive conduct disorder	Definite
3291	Eu32z12	[x]depressive disorder nos	Definite
4639	Eu32.00	[x]depressive episode	Definite
2970	Eu32z00	[x]depressive episode, unspecified	Definite
7953	Eu34100	[x]dysthymia	Definite
23731	Eu33311	[x]endogenous depression with psychotic symptoms	Definite
11329	Eu33211	[x]endogenous depression without psychotic symptoms	Definite
98346	Eu32500	[x]major depression, mild	Definite
98252	Eu32600	[x]major depression, moderately severe	Definite
11252	Eu33212	[x]major depression, recurrent without psychotic symptoms	Definite
98417	Eu32800	[x]major depression, severe with psychotic symptoms	Definite
98414	Eu32700	[x]major depression, severe without psychotic symptoms	Definite
7749	Eu41211	[x]mild anxiety depression	Definite
10667	Eu32400	[x]mild depression	Definite
11717	Eu32000	[x]mild depressive episode	Definite
30688	Eu3y011	[x]mixed affective episode	Definite
11913	Eu41200	[x]mixed anxiety and depressive disorder	Definite
9211	Eu32100	[x]moderate depressive episode	Definite
36616	Eu33z11	[x]monopolar depression nos	Definite
5726	Eu3..00	[x]mood - affective disorders	Definite
7737	Eu34113	[x]neurotic depression	Definite
6854	Eu32y00	[x]other depressive episodes	Definite
28008	Eu3y.00	[x]other mood affective disorders	Definite
50243	Eu34y00	[x]other persistent mood affective disorders	Definite
47731	Eu33y00	[x]other recurrent depressive disorders	Definite
29921	Eu3y100	[x]other recurrent mood affective disorders	Definite
50998	Eu3y000	[x]other single mood affective disorders	Definite
29579	Eu3yy00	[x]other specified mood affective disorders	Definite
15220	Eu34114	[x]persistant anxiety depression	Definite
39767	Eu34z00	[x]persistent mood affective disorder, unspecified	Definite
42857	Eu34.00	[x]persistent mood affective disorders	Definite
28248	Eu32z13	[x]prolonged single episode of reactive depression	Definite
33469	Eu33200	[x]recurr depress disorder cur epi severe without psyc sympt	Definite
32941	Eu33313	[x]recurr severe episodes/major depression+psychotic symptom	Definite
19054	Eu3y111	[x]recurrent brief depressive episodes	Definite
47009	Eu33300	[x]recurrent depress disorder cur epi severe with psyc symp	Definite
3292	Eu33.00	[x]recurrent depressive disorder	Definite
29784	Eu33000	[x]recurrent depressive disorder, current episode mild	Definite
29520	Eu33100	[x]recurrent depressive disorder, current episode moderate	Definite
44300	Eu33z00	[x]recurrent depressive disorder, unspecified	Definite
8851	Eu33.11	[x]recurrent episodes of depressive reaction	Definite
19696	Eu33.12	[x]recurrent episodes of psychogenic depression	Definite
8902	Eu33.13	[x]recurrent episodes of reactive depression	Definite
16861	Eu33315	[x]recurrent severe episodes of psychotic depression	Definite
37764	Eu33316	[x]recurrent severe episodes/reactive depressive psychosis	Definite
45419	Eu06y11	[x]right hemispheric organic affective disorder	Definite
8826	Eu33.15	[x]sad - seasonal affective disorder	Definite
28756	Eu33.14	[x]seasonal depressive disorder	Definite
12099	Eu32300	[x]severe depressive episode with psychotic symptoms	Definite
9667	Eu32200	[x]severe depressive episode without psychotic symptoms	Definite
41989	Eu32211	[x]single episode agitated depressn w'out psychotic symptoms	Definite
22806	Eu32212	[x]single episode major depression w'out psychotic symptoms	Definite
9055	Eu32.11	[x]single episode of depressive reaction	Definite
24117	Eu32311	[x]single episode of major depression and psychotic symptoms	Definite
56609	Eu32y12	[x]single episode of masked depression nos	Definite
18510	Eu32.12	[x]single episode of psychogenic depression	Definite
24112	Eu32313	[x]single episode of psychotic depression	Definite
7604	Eu32.13	[x]single episode of reactive depression	Definite
59386	Eu32213	[x]single episode vital depression w'out psychotic symptoms	Definite
37090	Eu3z.00	[x]unspecified mood affective disorder	Definite
73991	Eu33214	[x]vital depression, recurrent without psychotic symptoms	Definite
1055	E135.00	agitated depression	Definite
5879	E112.11	agitated depression	Definite
655	E200300	anxiety with depression	Definite
43292	E004300	arteriosclerotic dementia with depression	Definite
27491	E11y200	atypical depressive disorder	Definite
1533	E290.00	brief depressive reaction	Definite
36246	E290z00	brief depressive reaction nos	Definite
4323	E2B1.00	chronic depression	Definite
65435	9k40.00	depression - enhanced service completed	Definite
30583	9k4..00	depression - enhanced services administration	Definite
12399	9H90.00	depression annual review	Definite
30405	9H92.00	depression interim review	Definite
44848	8BK0.00	depression management programme	Definite
12122	9H91.00	depression medication review	Definite
324	E2B..00	depressive disorder nec	Definite
595	E112.14	endogenous depression	Definite
6932	E113.11	endogenous depression - recurrent	Definite
6950	E112.13	endogenous depression first episode	Definite
6546	E112.12	endogenous depression first episode	Definite
43239	9hC1.00	excepted from depression quality indicators: informed dissen	Definite
