medcode	readcode	readterm	diabetes
506	C100112	non-insulin dependent diabetes mellitus	1
711	C10..00	diabetes mellitus	1
758	C10F.00	type 2 diabetes mellitus	1
1038	C100011	insulin dependent diabetes mellitus	1
1323	F420.00	diabetic retinopathy	1
1407	C10FJ00	insulin treated type 2 diabetes mellitus	1
1549	C10E.00	type 1 diabetes mellitus	1
1647	C108.00	insulin dependent diabetes mellitus	1
1682	C101.00	diabetes mellitus with ketoacidosis	1
1684	66A4.00	diabetic on oral treatment	1
2340	F381311	diabetic amyotrophy	1
2342	F372.12	diabetic neuropathy	1
2378	66AJ.00	diabetic - poor control	1
2471	K01x100	nephrotic syndrome in diabetes mellitus	1
2475	C104.11	diabetic nephropathy	1
2478	66AJ100	brittle diabetes	1
2986	F420200	preproliferative diabetic retinopathy	1
3286	F420100	proliferative diabetic retinopathy	1
3837	F420400	diabetic maculopathy	1
4513	C109.00	non-insulin dependent diabetes mellitus	1
5002	F372.11	diabetic polyneuropathy	1
5884	C109.11	niddm - non-insulin dependent diabetes mellitus	1
6125	66AS.00	diabetic annual review	1
6509	C108700	insulin dependent diabetes mellitus with retinopathy	1
6791	C108800	insulin dependent diabetes mellitus - poor control	1
7045	14F4.00	h/o: admission in last year for diabetes foot problem	1
7059	8H2J.00	admit diabetic emergency	1
7069	F420000	background diabetic retinopathy	1
7328	M037200	cellulitis in diabetic foot	1
7563	66A3.00	diabetic on diet only	1
7795	C106.12	diabetes mellitus with neuropathy	1
8403	C109700	non-insulin dependent diabetes mellitus - poor control	1
8836	66AR.00	diabetes management plan given	1
8842	66A5.00	diabetic on insulin	1
9013	66AJ.11	unstable diabetes	1
9835	2BBL.00	o/e - diabetic maculopathy present both eyes	1
9881	M271200	mixed diabetic ulcer - foot	1
10098	C10yy00	other specified diabetes mellitus with other spec comps	1
10099	F420300	advanced diabetic maculopathy	1
10418	C10ED00	type 1 diabetes mellitus with nephropathy	1
10642	ZC2C800	dietary advice for diabetes mellitus	1
10659	F464000	diabetic cataract	1
10692	C10EM00	type 1 diabetes mellitus with ketoacidosis	1
10755	F420600	non proliferative diabetic retinopathy	1
11018	8HBG.00	diabetic retinopathy 12 month review	1
11047	66AH000	conversion to insulin	1
11129	2BBQ.00	o/e - left eye background diabetic retinopathy	1
11433	2BBP.00	o/e - right eye background diabetic retinopathy	1
11471	8B3l.00	diabetes medication review	1
11551	C10B.00	diabetes mellitus induced by steroids	1
11599	7276	pan retinal photocoagulation for diabetes	1
11626	F420z00	diabetic retinopathy nos	1
11663	M271100	neuropathic diabetic ulcer - foot	1
12213	8BL2.00	patient on maximal tolerated therapy for diabetes	1
12307	66AU.00	diabetes care by hospital only	1
12455	C10E.11	type i diabetes mellitus	1
12640	C10FC00	type 2 diabetes mellitus with nephropathy	1
12736	C10F500	type 2 diabetes mellitus with gangrene	1
13071	66AI.00	diabetic - good control	1
13078	13AC.00	diabetic weight reducing diet	1
13097	2BBT.00	o/e - right eye proliferative diabetic retinopathy	1
13099	2BBR.00	o/e - right eye preproliferative diabetic retinopathy	1
13101	2BBV.00	o/e - left eye proliferative diabetic retinopathy	1
13102	2BBW.00	o/e - right eye diabetic maculopathy	1
13103	2BBS.00	o/e - left eye preproliferative diabetic retinopathy	1
13108	2BBX.00	o/e - left eye diabetic maculopathy	1
13279	C104y00	other specified diabetes mellitus with renal complications	1
14803	C100100	diabetes mellitus, adult onset, no mention of complication	1
14889	C100111	maturity onset diabetes	1
15690	C103.00	diabetes mellitus with ketoacidotic coma	1
16230	C106.00	diabetes mellitus with neurological manifestation	1
16490	66AH.00	diabetic treatment changed	1
16491	C106.13	diabetes mellitus with polyneuropathy	1
16502	C104.00	diabetes mellitus with renal manifestation	1
16881	ZV65312	[v]dietary counselling in diabetes mellitus	1
17067	F171100	autonomic neuropathy due to diabetes	1
17095	2G5A.00	o/e - right diabetic foot at risk	1
17236	14P3.00	h/o: insulin therapy	1
17247	F35z000	diabetic mononeuritis nos	1
17262	C109600	non-insulin-dependent diabetes mellitus with retinopathy	1
17313	F440700	diabetic iritis	1
17545	C108F11	type i diabetes mellitus with diabetic cataract	1
17817	7L19800	subcutaneous injection of insulin	1
17858	C108.12	type 1 diabetes mellitus	1
17859	C109.12	type 2 diabetes mellitus	1
17869	66AL.00	diabetic-uncooperative patient	1
18056	2G5C.00	foot abnormality - diabetes related	1
18142	N030000	diabetic cheiroarthropathy	1
18143	C109G11	type ii diabetes mellitus with arthropathy	1
18167	66AT.00	annual diabetic blood test	1
18209	C109012	type 2 diabetes mellitus with renal complications	1
18219	C109.13	type ii diabetes mellitus	1
18230	C108J12	type 1 diabetes mellitus with neuropathic arthropathy	1
18264	C109J12	insulin treated type ii diabetes mellitus	1
18278	C109J00	insulin treated type 2 diabetes mellitus	1
18387	C10E700	type 1 diabetes mellitus with retinopathy	1
18390	C10FM00	type 2 diabetes mellitus with persistent microalbuminuria	1
18425	C10FB00	type 2 diabetes mellitus with polyneuropathy	1
18496	C10F600	type 2 diabetes mellitus with retinopathy	1
18505	C108.11	iddm-insulin dependent diabetes mellitus	1
18642	C10EH00	type 1 diabetes mellitus with arthropathy	1
18662	8HBH.00	diabetic retinopathy 6 month review	1
18683	C10E500	type 1 diabetes mellitus with ulcer	1
18777	C10F000	type 2 diabetes mellitus with renal complications	1
20696	66AA.11	injection sites - diabetic	1
21482	C102.00	diabetes mellitus with hyperosmolar coma	1
21983	C108012	type 1 diabetes mellitus with renal complications	1
22023	66AJz00	diabetic - poor control nos	1
22487	C10N.00	secondary diabetes mellitus	1
22573	C106z00	diabetes mellitus nos with neurological manifestation	1
22823	66Ab.00	diabetic foot examination	1
22871	C10EP00	type 1 diabetes mellitus with exudative maculopathy	1
22884	C10F.11	type ii diabetes mellitus	1
22967	2BBF.00	retinal abnormality - diabetes related	1
23479	C350011	bronzed diabetes	1
24327	M271000	ischaemic ulcer diabetic foot	1
24363	8A13.00	diabetic stabilisation	1
24423	C108.13	type i diabetes mellitus	1
24458	C109711	type ii diabetes mellitus - poor control	1
24490	C100000	diabetes mellitus, juvenile type, no mention of complication	1
24571	F372200	asymptomatic diabetic neuropathy	1
24693	C109G00	non-insulin dependent diabetes mellitus with arthropathy	1
24694	C108B00	insulin dependent diabetes mellitus with mononeuropathy	1
24836	C109C12	type 2 diabetes mellitus with nephropathy	1
25041	ZC2CA00	dietary advice for type ii diabetes	1
25591	C10FQ00	type 2 diabetes mellitus with exudative maculopathy	1
25627	C10F700	type 2 diabetes mellitus - poor control	1
26054	C10FL00	type 2 diabetes mellitus with persistent proteinuria	1
26108	C10B000	steroid induced diabetes mellitus without complication	1
26664	2G5B.00	o/e - left diabetic foot at risk	1
26666	2G5E.00	o/e - right diabetic foot at low risk	1
26667	2G5I.00	o/e - left diabetic foot at low risk	1
26855	C108400	unstable insulin dependent diabetes mellitus	1
27891	N030100	diabetic charcot arthropathy	1
27921	2G51000	foot abnormality - diabetes related	1
28769	66AV.00	diabetic on insulin and oral treatment	1
28873	66Ai.00	diabetic 6 month review	1
29041	66AN.00	date diabetic treatment start	1
29979	C109900	non-insulin-dependent diabetes mellitus without complication	1
30294	C10EL00	type 1 diabetes mellitus with persistent microalbuminuria	1
30323	C10EK00	type 1 diabetes mellitus with persistent proteinuria	1
30477	F420700	high risk proliferative diabetic retinopathy	1
31053	R054300	[d]widespread diabetic foot gangrene	1
31156	2G5J.00	o/e - left diabetic foot at moderate risk	1
31157	2G5F.00	o/e - right diabetic foot at moderate risk	1
31171	2G5G.00	o/e - right diabetic foot at high risk	1
31172	2G5K.00	o/e - left diabetic foot at high risk	1
31310	C108900	insulin dependent diabetes maturity onset	1
31790	F372.00	polyneuropathy in diabetes	1
32193	C11y000	steroid induced diabetes	1
32359	ZRbH.00	perceived control of insulin-dependent diabetes	1
32403	C107.11	diabetes mellitus with gangrene	1
32556	C107.12	diabetes with gangrene	1
32627	C10FN00	type 2 diabetes mellitus with ketoacidosis	1
33254	C105.00	diabetes mellitus with ophthalmic manifestation	1
33343	C10y.00	diabetes mellitus with other specified manifestation	1
33807	C107200	diabetes mellitus, adult with gangrene	1
33969	C10A100	malnutrition-related diabetes mellitus with ketoacidosis	1
34152	G73y000	diabetic peripheral angiopathy	1
34268	C10F200	type 2 diabetes mellitus with neurological complications	1
34283	C105z00	diabetes mellitus nos with ophthalmic manifestation	1
34450	C10FK00	hyperosmolar non-ketotic state in type 2 diabetes mellitus	1
34912	C109400	non-insulin dependent diabetes mellitus with ulcer	1
35105	C104100	diabetes mellitus, adult onset, with renal manifestation	1
35107	C104z00	diabetes mellitus with nephropathy nos	1
35116	2G5L.00	o/e - left diabetic foot - ulcerated	1
35288	C10E800	type 1 diabetes mellitus - poor control	1
35316	2G5H.00	o/e - right diabetic foot - ulcerated	1
35321	8H3O.00	non-urgent diabetic admission	1
35385	C10FH00	type 2 diabetes mellitus with neuropathic arthropathy	1
35399	C107.00	diabetes mellitus with peripheral circulatory disorder	1
