medcodeid	cleansedreadcode	term	ethnicity
141431000000111	9i21.00	scottish - ethnic category 2001 census	1
2486161000000112	9t10.00	white - northern ireland ethnic category 2011 census	1
141451000000116	9i24.00	northern irish - ethnic category 2001 census	1
1780408016	9S14.00	other white british ethnic group	1
2487321000000116	9t21.00	white: other british - scotland ethnic category 2011 census	1
1564391000006113	EMISNQBR12	british	1
1968051000006116	9t00.00	white:eng/welsh/scot/ni/brit - england and wales 2011 census	1
158341000000117	9i0..00	british or mixed british - ethnic category 2001 census	1
459726019	9S10.00	white british	1
196641000006110	134B.00	race: caucasian	1
1780407014	9S13.00	white scottish	1
1063981000000117	9i00.00	white british - ethnic category 2001 census	1
2487281000000112	9t20.00	white: scottish - scotland ethnic category 2011 census	1
157281000000117	9i20.00	english - ethnic category 2001 census	1
142691000000116	9i25.00	ulster scots - ethnic category 2001 census	1
6846371000006111	^ESCTCA684637	caucasian	1
285925010	9S1..00	white	1
141441000000119	9i22.00	welsh - ethnic category 2001 census	1
141461000000118	9i23.00	cornish - ethnic category 2001 census	1
2484671000000118	9t01.00	white: irish - england and wales ethnic category 2011 census	1
2487361000000112	9t22.00	white: irish - scotland ethnic category 2011 census	1
1564961000006118	EMISNQIR3	irish	1
285978014	9SA9.00	irish (nmo)	1
1064041000000111	9i10.00	white irish - ethnic category 2001 census	1
141301000000110	9i1..00	irish - ethnic category 2001 census	1
459727011	9S11.00	white irish	1
937411000006115	9i2T.00	other white or white unspecified ethnic category 2001 census	1
937311000006113	9i2H.00	commonwealth (russian) indep states - ethn categ 2001 census	1
138201000000110	9i2F.00	polish - ethnic category 2001 census	1
142791000000111	9i2S.00	other mixed white - ethnic category 2001 census	1
138191000000113	9i2E.00	gypsy/romany - ethnic category 2001 census	1
138231000000116	9i2K.00	albanian - ethnic category 2001 census	1
713341000000111	13y6.00	british israelite	1
459728018	9S12.00	other white ethnic group	1
142741000000118	9i2J.00	kosovan - ethnic category 2001 census	1
285987017	9SAC.00	other european (nmo)	1
157991000000110	9i2N.00	serbian - ethnic category 2001 census	1
411594011	9SAA.11	greek (nmo)	1
937371000006116	9i2P.00	other republics former yugoslavia - ethnic categ 2001 census	1
1968251000006113	9t11.00	irish traveller - northern ireland ethnic cat 2011 census	1
138171000000114	9i2C.00	irish traveller - ethnic category 2001 census	1
142721000000113	9i2A.00	turkish cypriot - ethnic category 2001 census	1
1968081000006112	9t03.00	white: other white backgrd- eng+wales ethnic cat 2011 census	1
142751000000115	9i2L.00	bosnian - ethnic category 2001 census	1
2645811000000115	9TC	roma ethnic group	1
937391000006115	9i2R.00	oth white european/european unsp/mixed european 2001 census	1
