medcodeid	term	certlevel
12456651000006117	[v]alcohol rehabilitation	1
460926018	[v]alcohol rehabilitation	1
362921000006118	[x]alcohol addiction	1
362931000006115	[x]alcohol deterrents caus adverse effects in therapeut use	1
362941000006113	[x]alcoholic dementia nos	1
362961000006112	[x]alcoholic jealousy	1
362971000006117	[x]alcoholic paranoia	1
362981000006119	[x]alcoholic psychosis nos	1
370961000006119	[x]chronic alcoholic brain syndrome	1
370971000006114	[x]chronic alcoholism	1
376451000006113	[x]delirium tremens, alcohol induced	1
379981000006116	[x]evid alcoh invl determ by levl intox very sev alcoh intox	1
379991000006118	[x]evid alcoh invol determ by level of intox mod alcoh intox	1
380001000006112	[x]evid alcoh invol determ by level of intox sev alcoh intox	1
380011000006110	[x]evid alcoh invol determ by levl of intox mild alcoh intox	1
380021000006119	[x]evid alcoh invol detrm by pres alcoh in bld levl not spec	1
380041000006114	[x]eviden alcoh involv blood alcoh level 240mg/100ml or more	1
380051000006111	[x]eviden of alcoh involv blood alcoh level 100-119mg/100ml	1
380061000006113	[x]eviden of alcoh involv blood alcoh level 120-199mg/100ml	1
380071000006118	[x]eviden of alcoh involv blood alcoh level 200-239mg/100ml	1
380091000006117	[x]eviden of alcohl involv blood alcohl level 20-39mg/100ml	1
380101000006111	[x]eviden of alcohl involv blood alcohl level 40-59mg/100ml	1
380111000006114	[x]eviden of alcohl involv blood alcohl level 60-79mg/100ml	1
380121000006118	[x]eviden of alcohl involv blood alcohl level 80-99mg/100ml	1
397201000006116	[x]men & behav dis due alcoh: resid & late-onset psychot dis	1
397211000006118	[x]men & behav dis due alcohl: withdrawl state with delirium	1
397241000006119	[x]men & behav dis due to use alcohol: oth men & behav dis	1
397431000006111	[x]ment & behav dis due use alcohol: unsp ment & behav dis	1
397611000006115	[x]mental & behav dis due to use alcohol: acute intoxication	1
397801000006117	[x]mental and behav dis due to use alcohol: dependence syndr	1
397811000006119	[x]mental and behav dis due to use alcohol: withdrawal state	1
2740361000006119	aa - alcohol abuse	1
17390014	acute alcoholic hepatitis	1
295127018	acute alcoholic intoxication in alcoholism	1
295132017	acute alcoholic intoxication in alcoholism nos	1
295128011	acute alcoholic intoxication, unspecified, in alcoholism	1
2658601000006116	acute alcoholic liver disease	1
283559019	admitted to alcohol detoxification centre	1
739501000000112	advised to contact primary care alcohol worker	1
397881000006114	alcohol abuse	1
405461000000114	alcohol abuse monitoring	1
397791000006118	alcohol amnestic disorder	1
476361000006114	alcohol amnestic syndrome	1
294664016	alcohol amnestic syndrome nos	1
4722771000006115	alcohol aversion therapy	1
2532939017	alcohol consumption counselling	1
2534258017	alcohol counselling by other agencies	1
295136019	alcohol dependence	1
500478011	alcohol dependence syndrome	1
295144019	alcohol dependence syndrome nos	1
295126010	alcohol dependence with acute alcoholic intoxication	1
8088751000006117	alcohol dependence with alcohol induced disorder	1
106878015	alcohol detoxification	1
13929361000006112	alcohol detoxification	1
1779661000006118	alcohol detoxification declined	1
2474678017	alcohol disorder monitoring	1
2612481000006116	alcohol hallucinosis	1
2475831000000114	alcohol harm reduction programme	1
7791901000006117	alcohol induced disorder	1
