medcode	readcode	readterm	certlevel
8030	ZV6D600	[v]alcohol abuse counselling and surveillance	1
8388	ZV57A00	[v]alcohol rehabilitation	1
16587	ZV11311	[v]problems related to lifestyle alcohol use	1
9508	Eu10011	[x]acute alcoholic drunkenness	1
28780	Eu10211	[x]alcohol addiction	1
73876	U60H300	[x]alcohol deterrents caus adverse effects in therapeut use	1
32927	Eu10800	[x]alcohol withdrawal-induced seizure	1
26323	Eu10711	[x]alcoholic dementia nos	1
6467	Eu10511	[x]alcoholic hallucinosis	1
65932	Eu10512	[x]alcoholic jealousy	1
30162	Eu10513	[x]alcoholic paranoia	1
17607	Eu10514	[x]alcoholic psychosis nos	1
37691	Eu10712	[x]chronic alcoholic brain syndrome	1
5758	Eu10212	[x]chronic alcoholism	1
17259	Eu10411	[x]delirium tremens, alcohol induced	1
39738	U813.00	[x]evid alcoh invl determ by levl intox very sev alcoh intox	1
73480	U811.00	[x]evid alcoh invol determ by level of intox mod alcoh intox	1
44686	U812.00	[x]evid alcoh invol determ by level of intox sev alcoh intox	1
105273	U810.00	[x]evid alcoh invol determ by levl of intox mild alcoh intox	1
103698	U80z.00	[x]evid alcoh invol detrm by pres alcoh in bld levl not spec	1
39726	U808.00	[x]eviden alcoh involv blood alcoh level 240mg/100ml or more	1
54504	U805.00	[x]eviden of alcoh involv blood alcoh level 100-119mg/100ml	1
32454	U806.00	[x]eviden of alcoh involv blood alcoh level 120-199mg/100ml	1
47907	U807.00	[x]eviden of alcoh involv blood alcoh level 200-239mg/100ml	1
57202	U801.00	[x]eviden of alcohl involv blood alcohl level 20-39mg/100ml	1
59079	U802.00	[x]eviden of alcohl involv blood alcohl level 40-59mg/100ml	1
57242	U803.00	[x]eviden of alcohl involv blood alcohl level 60-79mg/100ml	1
53428	U804.00	[x]eviden of alcohl involv blood alcohl level 80-99mg/100ml	1
12950	U800.00	[x]eviden of alcohl involv blood alcohl level <20 mg/100 ml	1
11670	Eu10611	[x]korsakov's psychosis, alcohol induced	1
62000	Eu10700	[x]men & behav dis due alcoh: resid & late-onset psychot dis	1
64101	Eu10400	[x]men & behav dis due alcohl: withdrawl state with delirium	1
45169	Eu10y00	[x]men & behav dis due to use alcohol: oth men & behav dis	1
