medcodeid	term
1011861000006110	adverse reaction to antihypertensive drugs
1011871000006115	adverse reaction to vasodilator antihypertensive drugs
1011881000006117	adverse reaction to centrally acting antihypertensive drugs
108730018	malignant hypertensive renal disease
11777411000006113	renal disease due to hypertension
12487991000006113	hypertensive treatm.changed
12488211000006112	hypertension treatm. started
12488221000006116	hypertension treatm.stopped
12496011	hypertensive retinopathy
12726231000006115	adverse reaction to other antihypertensives
12726241000006113	adverse reaction to antihypertensives nos
131046010	malignant essential hypertension
1409014	benign hypertensive renal disease
146259010	secondary pulmonary hypertension
151161000006115	secondary malignant hypertension
1529013	blind hypertensive eye
158241000006117	secondary hypertension nos
1706551000000114	hypertension 9 month review
1749291000006113	thromboembolic pulmonary hypertension
1780252014	hypertension treatment refused
1780253016	hypertension six month review
1780318013	moderate hypertension control
1780319017	hypertension annual review
1806071000006118	stage 1 hypertension
1806081000006115	stage 2 hypertension
1806141000006113	severe hypertension
1823901000006112	hypertension confirmed
1846941000006119	stage 1 hypertension (nice - nat ins for hth clin excl 2011)
1846961000006115	severe hypertension (nat inst for health clinical ex 2011)
1846991000006111	stage 2 hypertension (nice - nat ins for hth clin excl 2011)
1908711000006115	stage 1 hyperten (nice 2011) without evidnce end organ damge
1908721000006111	stage 1 hyperten (nice 2011) with evidnce end organ damge
19411000006110	other pre-exist hypertension in preg/childb/puerp + p/n comp
19421000006119	other pre-exist hypertension in preg/childb/puerp-not deliv
19431000006116	other pre-existing hypertension in preg/childb/puerp - deliv
19441000006114	other pre-existing hypertension in preg/childb/puerp nos
19451000006111	other pre-existing hypertension in preg/childb/puerp unspec
1992471000006116	vte risk assessment - uncontrolled systolic hypertension
2011000033113	antihypertensive drugs
2115801000000110	hypertension self-management plan review
2117971000000119	hypertension self-management plan agreed
212961000006118	pre-eclampsia or eclampsia + pre-existing hypertension nos
213081000006118	pre-exist 2ndry hypertens comp preg childbth and puerperium
213111000006112	pre-exist hypertension compl preg childbirth and puerperium
2159168015	patient on maximal tolerated antihypertensive therapy
2193021000000110	severe hypertension
2193031000000112	stage 1 hypertension
2193971000000110	hypertension resistant to drug therapy
2297871000000111	pulmonary arterial hypertension drugs band 1
2297911000000113	pulmonary arterial hypertension drugs band 2
2297951000000112	pulmonary arterial hypertension drugs band 3
2297991000000116	pulmonary arterial hypertension drugs band 4
2474335018	hypertension clinical management plan
2478822013	secondary benign renovascular hypertension
251674014	h/o: hypertension
264471012	good hypertension control
264472017	poor hypertension control
264473010	hypertension:follow-up default
264485019	hypertension treatm. started
264486018	hypertensive treatm.changed
264487010	hypertension treatm.stopped
2645973019	chronic peripheral venous hypertension
2681651000006116	pulmonary hypertensive arterial disease
2681661000006119	hypertensive pulmonary arterial disease
28311000033116	vasodilator antihypertensive drugs
28411000033112	centrally acting antihypertensive drugs
299676019	secondary malignant renovascular hypertension
299677011	secondary malignant hypertension nos
299678018	secondary benign hypertension
299680012	secondary benign hypertension nos
299681011	hypertension secondary to endocrine disorders
299682016	secondary hypertension nos
299683014	secondary renovascular hypertension nos
299684015	hypertension secondary to drug
299686018	other specified hypertensive disease
299687010	hypertensive disease nos
300869017	[x]hypertensive diseases
300870016	[x]other secondary hypertension
