medcodeid	term
972651000006116	** cognitive behaviour therapy for psychiatric problems
973001000006117	** intro to psychotherapy - psychodynamic principles & practice
973081000006114	** psychiatric nursing - a therapeutic approach
972921000006115	** theories of psychotherapy
907691000006117	[rfc] psycho-sexual counselling
338151000006117	[v]convalescence after psychotherapy or mental dis treatment
346961000006118	[v]psychotherapy or other treatment for mental disorder follow-up
460929013	[v]psychotherapy, not elsewhere classified
2233241000000116	accepted by psychological talking therapy service
8461481000006117	admission to psychiatric inpatient unit gate kept by crisis resolution and home treatment team
283471010	anti-criminal psychotherapy
2733641000000113	assessment using iapt (improving access to psychological therapies) programme phobia scale
8338421000006113	assessment using improving access to psychological therapies programme work and social adjustment scale
500671000006113	aversive psychotherapy
12738261000006114	bct - behavioural couples therapy
8095551000006116	behaviour desensitisation therapy
4929861000006119	behaviour therapist
2838057012	behavioural activation therapy
1949431000006118	behavioural family therapy
2501191000006113	behavioural psychotherapy
5997331000006110	behavioural therapist nurse
2501091000006112	behavioural therapy
6649371000006114	brief solution focused psychotherapy
5935011000006117	cbt - cognitive - behavior therapy
5935041000006118	cbt - cognitive - behaviour therapy
2502581000000119	cbtp - cognitive behavioural therapy for psychosis
2696043019	child psychotherapy
401499014	child referral - clinical psychologist
5990861000006114	child referral - school psychologist
218881000000114	child referral-school psychol.
5935001000006115	cognitive - behaviour therapy
4981491000006119	cognitive and behavioral therapy
4981481000006117	cognitive and behavioural therapy
303261000000119	cognitive behaviour therapy declined
1949471000006115	cognitive behavioural integrative therapy
6007431000006111	cognitive behavioural language therapy
1554781000006115	cognitive behavioural therapy
2674396013	cognitive behavioural therapy by multidisciplinary team
372421000000112	cognitive behavioural therapy by unidisciplinary team
7766271000006113	cognitive behavioural therapy for psychosis
372381000000115	cognitive behavioural therapy nos
2278751000000116	cognitive behavioural therapy parenting programme
2475003019	cognitive-behaviour therapy
14072351000006113	cognitive-behaviour therapy
5935031000006111	cognitive-behavioural therapy approach
2695950014	computerised cognitive behavioural therapy
7101731000006116	computerized cognitive behavioral therapy
7234861000006113	couple psychotherapy
283463011	daily life psychotherapy
