medcodeid	term	smokstatus
14866014	non-smoker	non-smoker
16588018	tobacco deposit on teeth	current or ex-smoker
72373013	passive smoker	non-smoker
78013015	smokers' cough	current smoker
99639019	cigar smoker	current smoker
108938018	cigarette smoker	current smoker
128130017	smoker	current smoker
136515019	pipe smoker	current smoker
150398019	nicotine withdrawal	current or ex-smoker
216212011	smoking reduced	current smoker
250363016	ex-trivial cigarette smoker (<1/day)	ex-smoker
250364010	ex-light cigarette smoker (1-9/day)	ex-smoker
250365011	ex-moderate cigarette smoker (10-19/day)	ex-smoker
250366012	ex-heavy cigarette smoker (20-39/day)	ex-smoker
250367015	ex-very heavy cigarette smoker (40+/day)	ex-smoker
250368013	keeps trying to stop smoking	current smoker
250369017	admitted tobacco consumption possibly untrue	current or ex-smoker
250370016	tobacco consumption unknown	current smoker
250371017	ex-smoker - amount unknown	ex-smoker
250372012	trying to give up smoking	current or ex-smoker
250373019	stopped smoking	ex-smoker
250374013	current non-smoker	non-smoker
250375014	rolls own cigarettes	current smoker
250385010	date ceased smoking	ex-smoker
250387019	tobacco consumption nos	current smoker
263570019	maternal tobacco abuse	current smoker
265092010	pregnancy smoking advice	current smoker
285792013	monitoring of smoking cessation therapy refused	current or ex-smoker
285793015	stop smoking monitor default	current or ex-smoker
285805010	stop smoking monitoring delete	current or ex-smoker
295256013	tobacco dependence, unspecified	current smoker
295257016	tobacco dependence, continuous	current smoker
295258014	tobacco dependence, episodic	current smoker
295259018	tobacco dependence in remission	ex-smoker
295260011	tobacco dependence nos	current smoker
295951010	nicotine-induced organic mental disorder	current smoker
324597019	toxic effect of tobacco and nicotine	current smoker
338608011	smoking cessation advice	current or ex-smoker
342443012	smokes drugs	current or ex-smoker
342444018	smokes drugs in cigarette form	current smoker
342445017	smokes drugs through a pipe	current smoker
342574011	total time smoked	current or ex-smoker
344793011	cigarette consumption	current smoker
344794017	cigar consumption	current smoker
344795016	pipe tobacco consumption	current smoker
397732011	never smoked tobacco	non-smoker
397733018	occasional smoker	current smoker
408878014	fagerstrom test for nicotine dependence total score	current smoker
418914010	ex-cigarette smoker	ex-smoker
457286014	nicotine replacement therapy	current or ex-smoker
459484017	nicotine replacement therapy refused	current smoker
459524018	over the counter nicotine replacement therapy	current or ex-smoker
459722017	referral to stop-smoking clinic	current or ex-smoker
460127014	pack years	current or ex-smoker
460828018	tobacco user	current smoker
461114016	counselling about tobacco use	current smoker
503483019	current smoker	current smoker
1484932017	smoking cessation milestones	ex-smoker
1484933010	negotiated date for cessation of smoking	current smoker
1484937011	nicotine replacement therapy provided free	current or ex-smoker
1488576014	thinking about stopping smoking	current smoker
1488577017	ready to stop smoking	current smoker
1488578010	not interested in stopping smoking	current smoker
1488666019	no smokers in the household	non-smoker
1488870013	nicotine replacement therapy contraindicated	current or ex-smoker
1488871012	bupropion contraindicated	current or ex-smoker
1488872017	bupropion refused	current smoker
1488873010	smoking free weeks	ex-smoker
1489355012	referral to smoking cessation advisor	current or ex-smoker
1773560017	smoking cessation programme start date	current smoker
1780273014	seen by smoking cessation advisor	current or ex-smoker
1780360012	reason for restarting smoking	current smoker
1780396011	cigarette pack-years	current or ex-smoker
2474719011	minutes from waking to first tobacco consumption	current smoker
2669652019	smoking started	current smoker
2670126018	smoking restarted	current smoker
2982426011	provision of smoking cessation leaflet	current smoker
3513101011	date ceased using moist tobacco	current or ex-smoker
3513199018	ex-smoker for less than 1 year	ex-smoker
3513803011	electronic cigarette liquid	current smoker
16261000000110	stop smoking monitoring administration	current or ex-smoker
21681000000118	anti-smoking monitoring admin.	current or ex-smoker
21691000000116	anti-smoking monitoring administration	current or ex-smoker
25281000000119	stop smoking clinic administration	current or ex-smoker
37311000006117	other anti-smoking drug given	current smoker
62881000000117	dna - did not attend smoking cessation clinic	current smoker
67621000006112	very heavy cigarette smoker (40+ cigs/day)	current smoker
88471000006112	trivial cigarette smoker (less than one cigarette/day)	current smoker
