medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	ckd_4_5	dialysis	transplant	ckd_1_2	ckd_3_5	kidney_ppv	kidney_flu
460910019	[v]aftercare involving intermittent dialysis	ZV56	ZV56.00	398471000000102	1008471000000116		1				1	1
1227722017	[v]aftercare involving renal dialysis nos	ZV560-1	ZV56011	410511000000103	1008481000000119		1				1	1
460911015	[v]aftercare involving extracorporeal dialysis	ZV560	ZV56000	410511000000103	1008481000000119		1				1	1
3619221000006118	sle glomerulonephritis syndrome	^ESCTSL361922		68815009	114307010	1				1	1	1
677561000006119	nephrotic syndrome in systemic lupus erythematosus	K01x4	K01x400	68815009	114310015	1				1	1	1
114310015	lupus nephritis	K01x4-1	K01x411	68815009	114310015	1				1	1	1
272326017	other specified transplantation of kidney	7B00y	7B00y00	70536003	117163013			1			1	1
3647021000006114	transplant of kidney	^ESCTTR364702		70536003	117163013			1			1	1
3647031000006112	kidney transplantation	^ESCTKI364703		70536003	117167014			1			1	1
117168016	renal transplant	7B00-98	7B00.98	70536003	117168016			1			1	1
375841000000114	peritoneal dialysis nec	7L1A6	7L1A600	71192002	118218017		1				1	1
118218017	peritoneal dialysis	7L1A1	7L1A100	71192002	118218017		1				1	1
11924551000006114	end-stage renal disease	^ESCT1192455		46177005	11924551000006114	1				1	1	1
5307111000006113	dialysis observation	^ESCTDI530711		251859005	1224756017		1				1	1
3222351000006118	mcd - minimal change disease	^ESCTMC322235		44785005	1230129010	1				1	1	1
3222361000006116	mcgn - minimal change glomerulonephritis	^ESCTMC322236		44785005	1230130017	1				1	1	1
3222371000006111	minimal change nephrotic syndrome	^ESCTMI322237		44785005	1230131018	1				1	1	1
3222381000006114	idiopathic nephrotic syndrome	^ESCTID322238		44785005	1230132013	1				1	1	1
3222391000006112	minimal change nephropathy	^ESCTMI322239		44785005	1230133015	1				1	1	1
3222401000006114	light negative glomerulonephritis	^ESCTLI322240		44785005	1230134014	1				1	1	1
3222411000006112	minimal change glomerulonephritis	^ESCTMI322241		44785005	1230135010	1				1	1	1
3222421000006116	mcns - minimal change nephrotic syndrome	^ESCTMC322242		44785005	1230136011	1				1	1	1
3222431000006118	mcn - minimal change nephropathy	^ESCTMC322243		44785005	1230137019	1				1	1	1
3245851000006118	esrf - end stage renal failure	^ESCTES324585		46177005	1230314019	1				1	1	1
3245861000006116	escrf - end stage chronic renal failure	^ESCTES324586		46177005	1230315018	1				1	1	1
3245871000006111	esrd - end stage renal disease	^ESCTES324587		46177005	1230316017	1				1	1	1
3347091000006118	ns - nephrotic syndrome	^ESCTNS334709		52254009	1231098019	1				1	1	1
3657891000006116	pd - peritoneal dialysis	^ESCTPD365789		71192002	1233361017		1				1	1
