medcode	readcode	readterm	ckd_4_5	dialysis	transplant	ckd_1_2	ckd_3_5	kidney_ppv	kidney_flu
512	K05..00	chronic renal failure	1				1	1	1
1803	K011.00	nephrotic syndrome with membranous glomerulonephritis	1				1	1	1
2471	K01x100	nephrotic syndrome in diabetes mellitus	1				1	1	1
2994	7L1A100	peritoneal dialysis		1				1	1
2995	G760.00	acquired arteriovenous fistula		1				1	1
2996	7L1A200	haemodialysis nec		1				1	1
2997	7B00.00	transplantation of kidney			1			1	1
2999	K01..00	nephrotic syndrome	1				1	1	1
3205	7A60100	creation of arteriovenous fistula nec		1				1	1
5504	7B00z00	transplantation of kidney nos			1			1	1
5911	ZV42000	[v]kidney transplanted			1			1	1
6712	K050.00	end stage renal failure	1				1	1	1
8037	7L1B000	insertion of ambulatory peritoneal dialysis catheter		1				1	1
8330	K0D..00	end-stage renal disease	1				1	1	1
9765	7A61400	ligation of acquired arteriovenous fistula		1				1	1
9840	K010.00	nephrotic syndrome with proliferative glomerulonephritis	1				1	1	1
11553	SP08300	kidney transplant failure and rejection			1			1	1
11745	7B00100	transplantation of kidney from live donor			1			1	1
11773	7L1A.11	dialysis for renal failure		1				1	1
12479	1Z13.00	chronic kidney disease stage 4	1				1	1	1
12566	1Z12.00	chronic kidney disease stage 3					1		1
12585	1Z14.00	chronic kidney disease stage 5	1				1	1	1
12586	1Z11.00	chronic kidney disease stage 2				1			
16929	D215.00	anaemia secondary to renal failure	1				1	1	1
17253	8L50.00	renal transplant planned			1			1	1
17365	K01B.00	nephrotic syndrome  diffuse crescentic glomerulonephritis	1				1	1	1
18774	TB00111	renal transplant with complication, without blame			1			1	1
18779	7A61100	repair of acquired arteriovenous fistula		1				1	1
19316	K016.00	nephrotic syndrome  diffuse membranous glomerulonephritis	1				1	1	1
20073	7L1A000	renal dialysis		1				1	1
21947	K017.00	nephrotic syn difus mesangial prolifertiv glomerulonephritis	1				1	1	1
21989	K019.00	nephrotic syn diffuse mesangiocapillary glomerulonephritis	1				1	1	1
22252	ZV45100	[v]renal dialysis status		1				1	1
22852	K015.00	nephrotic syndrome  focal and segmental glomerular lesions	1				1	1	1
23773	7L1B100	removal of ambulatory peritoneal dialysis catheter		1				1	1
23913	K014.00	nephrotic syndrome  minor glomerular abnormality	1				1	1	1
24151	7A60.00	arteriovenous shunt		1				1	1
24361	7B00200	transplantation of kidney from cadaver			1			1	1
25394	D215000	anaemia secondary to chronic renal failure	1				1	1	1
25521	7A60112	creation of brachial-cephalic fistula		1				1	1
26860	G752000	goodpasture's syndrome	1				1	1	1
26862	7B06300	exploration of renal transplant			1			1	1
27427	K01z.00	nephrotic syndrome nos	1				1	1	1
28158	TB11.00	kidney dialysis with complication  without blame		1				1	1
28269	7A60111	creation of radial-cephalic fistula		1				1	1
28684	G233.00	hypertensive heart and renal disease with renal failure	1				1	1	1
29013	1Z10.00	chronic kidney disease stage 1				1			
29634	K013.00	nephrotic syndrome with minimal change glomerulonephritis	1				1	1	1
30709	7L1C000	insertion of temporary peritoneal dialysis catheter		1				1	1
30756	7L1A500	continuous ambulatory peritoneal dialysis		1				1	1
31478	7A60300	removal of infected arteriovenous shunt		1				1	1
31549	7L1A.00	compensation for renal failure		1				1	1
32423	G222.00	hypertensive renal disease with renal failure	1				1	1	1
35921	TA22.00	failure of sterile precautions during perfusion		1				1	1
36442	7L1B.11	placement ambulatory dialysis apparatus - compens renal fail		1				1	1
40349	K013.11	lipoid nephrosis	1				1	1	1
41285	K0A1200	rapid progres neph syn diffuse membranous glomerulonephritis	1				1	1	1
46145	ZV56011	[v]aftercare involving renal dialysis nos		1				1	1
47672	K01x400	nephrotic syndrome in systemic lupus erythematosus	1				1	1	1
47922	K01x000	nephrotic syndrome in amyloidosis	1				1	1	1
48022	7L1Ay00	other specified compensation for renal failure		1				1	1
48057	K0B5.00	renal tubulo-interstitial disordrs in transplant rejectn	1				1	1	1
48121	7B01500	transplant nephrectomy			1			1	1
49028	14S2.00	h/o: kidney recipient			1			1	1
50200	K0A1600	rapid progressive nephritic syndrome  dense deposit disease	1				1	1	1
50472	K018.00	nephrotic syn difus endocapilary proliftv glomerulonephritis	1				1	1	1
51039	7B01200	bilateral nephrectomy			1			1	1
53852	K05..12	end stage renal failure	1				1	1	1
53940	Kyu2100	[x]other chronic renal failure	1				1	1	1
